country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
Denmark,1978,Aarhus Universitet (AU),higher_education,255239700.0,DKK,krone,verified_override,original_pdf,1978 19771_L101_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1979,Aarhus Universitet (AU),higher_education,350592400.0,DKK,krone,verified_override,original_pdf,1979 9781_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1980,Aarhus Universitet (AU),higher_education,369796900.0,DKK,krone,verified_override,original_pdf,1980 19792_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1981,Aarhus Universitet (AU),higher_education,387209100.0,DKK,krone,verified_override,original_pdf,1981 19801_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1982,Aarhus Universitet (AU),higher_education,409057400.0,DKK,krone,verified_override,original_pdf,1982 19812_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1984,Aarhus Universitet (AU),higher_education,496960800.0,DKK,krone,verified_override,original_pdf,1984 19832_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1986,Aarhus Universitet (AU),higher_education,502137200.0,DKK,krone,verified_override,original_pdf,1986 19851_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1987,Aarhus Universitet (AU),higher_education,539958200.0,DKK,krone,verified_override,original_pdf,1987 19861_L1_som_vedtaget.pdf,133,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1988,Aarhus Universitet (AU),higher_education,575174800.0,DKK,krone,verified_override,original_pdf,1988 19871_L1_som_vedtaget.pdf,151,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1989,Aarhus Universitet (AU),higher_education,622085900.0,DKK,krone,verified_override,original_pdf,1989 19881_L1_som_vedtaget.pdf,132,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1990,Aarhus Universitet (AU),higher_education,625479500.0,DKK,krone,verified_override,original_pdf,1990 19891_L1_som_vedtaget.pdf,116,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1991,Aarhus Universitet (AU),higher_education,677500000.0,DKK,krone,verified_override,original_pdf,1991 19902_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1992,Aarhus Universitet (AU),higher_education,749400000.0,DKK,krone,verified_override,original_pdf,1992 19911_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1993,Aarhus Universitet (AU),higher_education,792700000.0,DKK,krone,verified_override,original_pdf,1993 19921_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1994,Aarhus Universitet (AU),higher_education,463500000.0,DKK,krone,verified_override,original_pdf,1994 19931_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1995,Aarhus Universitet (AU),higher_education,508500000.0,DKK,krone,verified_override,original_pdf,1995 19941_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2005,Aarhus Universitet (AU),higher_education,1653400000.0,DKK,krone,verified_override,original_pdf,20041_L1_som_vedtaget.pdf,86,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2008,Aarhus Universitet (AU),higher_education,2529400000.0,DKK,krone,verified_override,original_pdf,A20080000130.pdf,89,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2009,Aarhus Universitet (AU),higher_education,2771900000.0,DKK,krone,verified_override,original_pdf,A20080000330.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2010,Aarhus Universitet (AU),higher_education,2981700000.0,DKK,krone,verified_override,original_pdf,A20090000230.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2013,Aarhus Universitet (AU),higher_education,3257100000.0,DKK,krone,verified_override,original_pdf,A20120000330.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2014,Aarhus Universitet (AU),higher_education,3606800000.0,DKK,krone,verified_override,original_pdf,A20130000230.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2015,Aarhus Universitet (AU),higher_education,3619300000.0,DKK,krone,verified_override,original_pdf,A20140000230.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2017,Aarhus Universitet (AU),higher_education,3751200000.0,DKK,krone,verified_override,original_pdf,A20160000230.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2018,Aarhus Universitet (AU),higher_education,3777800000.0,DKK,krone,verified_override,original_pdf,A20170000230.pdf,104,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2019,Aarhus Universitet (AU),higher_education,3818500000.0,DKK,krone,verified_override,original_pdf,AE2602.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2020,Aarhus Universitet (AU),higher_education,3838300000.0,DKK,krone,verified_override,original_pdf,AE2755 (3).pdf,107,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2021,Aarhus Universitet (AU),higher_education,3893900000.0,DKK,krone,verified_override,original_pdf,AE2845.pdf,110,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2022,Aarhus Universitet (AU),higher_education,3924800000.0,DKK,krone,verified_override,original_pdf,AE2954.pdf,117,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,2025,Aarhus Universitet (AU),higher_education,4502400000.0,DKK,krone,verified_override,original_pdf,AE3209.pdf,123,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1978,Copenhagen Business School (CBS),higher_education,61383200.0,DKK,krone,verified_override,original_pdf,1978 19771_L101_som_vedtaget.pdf,0,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
Denmark,1979,Copenhagen Business School (CBS),higher_education,88877800.0,DKK,krone,verified_override,original_pdf,1979 9781_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1980,Copenhagen Business School (CBS),higher_education,97784100.0,DKK,krone,verified_override,original_pdf,1980 19792_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
Denmark,1981,Copenhagen Business School (CBS),higher_education,106883000.0,DKK,krone,verified_override,original_pdf,1981 19801_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
Denmark,1982,Copenhagen Business School (CBS),higher_education,118567000.0,DKK,krone,verified_override,original_pdf,1982 19812_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
Denmark,1984,Copenhagen Business School (CBS),higher_education,157249100.0,DKK,krone,verified_override,original_pdf,1984 19832_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
