country,year,section_code,section_name_en,program_code,program_description,line_description,amount_local,currency,rd_category,pillar,decision,confidence,source_file,page_number
Denmark,1976,§20,Ministry of Education,70.01,Forskningscentret ved Hørsholm 2.500.000,70.01 Forskningscentret ved Hørsholm 2.500.000,23300,DKK,direct_rd,Direct R&D,include,0.99,1976 19751_L100_som_vedtaget.pdf,126
Denmark,1978,§20,Ministry of Education,70.01,Forskningscentret ved Hørsholm 30. Stiftelsen Sorø Akademi.,70.01 Forskningscentret ved Hørsholm 30. Stiftelsen Sorø Akademi.,22900,DKK,direct_rd,Direct R&D,include,0.99,1978 19771_L101_som_vedtaget.pdf,110
Denmark,1980,§20,Ministry of Education,73.44,Hollufgård 20.09. Særlige forskningsinstitutioner. Forskningstilskud,73.44 Hollufgård 20.09. Særlige forskningsinstitutioner. Forskningstilskud,20000,DKK,direct_rd,Direct R&D,review,0.99,1980 19792_L1_som_vedtaget.pdf,115
Denmark,1977,§20,Ministry of Education,73.44,HoR-iifgård 20.09. Særlige forskningsinstitutioner. Forskningstilskud:,73.44 HoR-iifgård 20.09. Særlige forskningsinstitutioner. Forskningstilskud:,19000,DKK,direct_rd,Direct R&D,review,0.99,1977 19762_L1_som_vedtaget.pdf,120
Denmark,1979,§20,Ministry of Education,73.44,Hollufgård - 20.09. Særlige forskningsinstitutioner. Forskningstilskud,73.44 Hollufgård - 20.09. Særlige forskningsinstitutioner. Forskningstilskud,19000,DKK,direct_rd,Direct R&D,review,0.99,1979 9781_L1_som_vedtaget.pdf,112
Denmark,1976,§20,Ministry of Education,73.44,Hollufgård 20.09. Særlige forskningsinstitutioner. Forskningstilskud:,73.44 Hollufgård 20.09. Særlige forskningsinstitutioner. Forskningstilskud:,17000,DKK,direct_rd,Direct R&D,review,0.99,1976 19751_L100_som_vedtaget.pdf,125
Denmark,1975,§20,Ministry of Education,63.09,"Det kgl, danske videnskabernes selskab til undersøgelse af de i","63.09 Det kgl, danske videnskabernes selskab til undersøgelse af de i",15000,DKK,direct_rd,Direct R&D,include,0.99,1975 19742_L1_som_vedtaget.pdf,122
Denmark,1976,§20,Ministry of Education,53.09,Det kgl. danske videnskabernes selskab til undersøgelse af de i,53.09 Det kgl. danske videnskabernes selskab til undersøgelse af de i,15000,DKK,direct_rd,Direct R&D,include,0.99,1976 19751_L100_som_vedtaget.pdf,122
Denmark,1977,§20,Ministry of Education,53.09,Det kgl. danske videnskabernes selskab til undersøgelse af de,53.09 Det kgl. danske videnskabernes selskab til undersøgelse af de,15000,DKK,direct_rd,Direct R&D,include,0.99,1977 19762_L1_som_vedtaget.pdf,117
Denmark,1979,§20,Ministry of Education,53.07,Det kgl. danske videnskabernes Selskab til undersøgelse af,53.07 Det kgl. danske videnskabernes Selskab til undersøgelse af,15000,DKK,direct_rd,Direct R&D,include,0.99,1979 9781_L1_som_vedtaget.pdf,109
