year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2016,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2016,ICA (Instituto Colombiano Agropecuario),science_agency,44886561958.0,unit,COP,section_total,pdf_bedb3db21394__2016_Decreto_2550.txt,-1.0,,,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),covered_by_final_series,,,
2016,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,6561994255.0,unit,COP,section_total,pdf_bedb3db21394__2016_Decreto_2550.txt,-1.0,,,IDEAM,covered_by_final_series,,,
2016,INM (Instituto Nacional de Metrología),science_agency,2398740886.0,unit,COP,section_total,pdf_bedb3db21394__2016_Decreto_2550.txt,-1.0,,,INSTITUTO NACIONAL DE METROLOGIA - INM,covered_by_final_series,,,
2016,Instituto Nacional de Salud (Colombia),science_agency,4290271000.0,unit,COP,section_total,pdf_bedb3db21394__2016_Decreto_2550.txt,-1.0,,,INSTITUTO NACIONAL DE SALUD (INS),covered_by_final_series,,,
2016,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,"SECCIÓN 3602. Include only R&D/innovation investment sub-programmes, not pure vocational training.; dropped after source audit: traceable but not a defensible final R&D appropriation"
2016,iNNpulsa Colombia,innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2017,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2017,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2017,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2017,ICA (Instituto Colombiano Agropecuario),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2017,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,9695980000.0,unit,COP,section_total,pdf_76d96b1db776__2017_LEY_1815_DE_2016.txt,-1.0,,,IDEAM,covered_by_final_series,,,
2017,INM (Instituto Nacional de Metrología),science_agency,1603000000.0,unit,COP,section_total,pdf_76d96b1db776__2017_LEY_1815_DE_2016.txt,-1.0,,,INSTITUTO NACIONAL DE METROLOGIA - INM,covered_by_final_series,,,
2017,Instituto Nacional de Salud (Colombia),science_agency,4725627850.0,unit,COP,section_total,pdf_06b0f6e19814__2017_Decreto_2170.txt,-1.0,,,INSTITUTO NACIONAL DE SALUD (INS),covered_by_final_series,,,
2017,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,"SECCIÓN 3602. Include only R&D/innovation investment sub-programmes, not pure vocational training.; dropped after source audit: traceable but not a defensible final R&D appropriation"
2017,iNNpulsa Colombia,innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2018,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2018,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2018,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
