country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
Japan,2004,National Institute for Environmental Studies,science_agency,9254603000.0,JPY,yen,verified_override,original_pdf,2004 DL200411001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2009,National Institute for Environmental Studies,science_agency,9292205000.0,JPY,yen,verified_override,original_pdf,2009 DL200911001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2010,National Institute for Environmental Studies,science_agency,2835409000.0,JPY,yen,verified_override,original_pdf,2010 DL201011001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2011,National Institute for Environmental Studies,science_agency,13522931000.0,JPY,yen,verified_override,original_pdf,2011 DL201111001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2012,National Institute for Environmental Studies,science_agency,12111369000.0,JPY,yen,verified_override,original_pdf,2012 DL201211001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2013,National Institute for Environmental Studies,science_agency,11454420000.0,JPY,yen,verified_override,original_pdf,2013 DL201311001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2014,National Institute for Environmental Studies,science_agency,10828427000.0,JPY,yen,verified_override,original_pdf,2014 DL201411001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2016,National Institute for Environmental Studies,science_agency,11695485000.0,JPY,yen,verified_override,original_pdf,2016 DL201611001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2016,"National Institute of Biomedical Innovation, Health and Nutrition",science_agency,3674953000.0,JPY,yen,verified_override,original_pdf,2016 DL201611001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2024,"National Institute of Biomedical Innovation, Health and Nutrition",science_agency,6729156000.0,JPY,yen,verified_override,original_pdf,2024 DL202411001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2016,QST (National Institutes for Quantum Science and Technology),science_agency,21557994000.0,JPY,yen,verified_override,original_pdf,2016 DL201611001.pdf,,Verified against original Japan budget tables,gap: no matching rows in this year; manual override from original Japan budget file,verified_against_original_file
Japan,2024,QST (National Institutes for Quantum Science and Technology),science_agency,21788072000.0,JPY,yen,verified_override,original_pdf,2024 DL202411001.pdf,,Verified against original Japan budget tables,gap: no matching rows in this year; manual override from original Japan budget file,verified_against_original_file
Japan,2000,RIKEN (Institute of Physical and Chemical Research),science_agency,65490000000.0,JPY,yen,verified_override,original_pdf,2000 DL200011001.pdf,,Verified against original Japan budget tables,gap: no matching rows in this year; manual override from original Japan budget file,verified_against_original_file
Japan,2005,RIKEN (Institute of Physical and Chemical Research),science_agency,71101637000.0,JPY,yen,verified_override,original_pdf,2005 DL200511001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2016,RIKEN (Institute of Physical and Chemical Research),science_agency,51591219000.0,JPY,yen,verified_override,original_pdf,2016 DL201611001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
Japan,2024,RIKEN (Institute of Physical and Chemical Research),science_agency,55348412000.0,JPY,yen,verified_override,original_pdf,2024 DL202411001.pdf,,Verified against original Japan budget tables,manual override from original Japan budget file,verified_against_original_file
