country,year,issue_type,issue_label,missing_agency_years,outlier_agency_years,actions,gap_subtypes,agencies,run_docs_for_year,zero_row_docs_for_year,queue_source_files,run_source_files,diagnosis_excerpt,criticality_rank,criticality_score,severity
Canada,2018,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Canadian High Arctic Research Station,4,0,,Appropriation Act 2018-19 C73.pdf | Appropriation Act 2018-19 C80.pdf | Appropriation Act 2018-19 C90.pdf | Appropriation Act 2018-19 C95.pdf,"Amount 35,111,881 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2019,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Canadian High Arctic Research Station,4,0,,Appropriation Act 2019-20 C10.pdf | Appropriation Act 2019-20 C102.pdf | Appropriation Act 2019-20 C2.pdf | Appropriation Act 2019-20 C96.pdf,"Amount 42,272,066 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2020,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Canadian High Arctic Research Station,18,0,,Appropriation Act 2020-21 C11.pdf | Appropriation Act 2020-21 C16.pdf | Appropriation Act 2020-21 C17.pdf | Appropriation Act 2020-21 C18.pdf | Appropriation Act 2020-21 C19.pdf | Appropriation Act 2020-21 C26.pdf,"Amount 29,453,623 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2021,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Canadian High Arctic Research Station,5,0,,Appropriation Act 2021-22 C15.pdf | Appropriation Act 2021-22 C27.pdf | Appropriation Act 2021-22 C33.pdf | Appropriation Act 2021-22 C34.pdf | Appropriation Act 2021-22 C6.pdf,"Amount 29,761,017 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2022,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Canadian High Arctic Research Station,15,0,,Appropriation Act 2022-23 C16.pdf | Appropriation Act 2022-23 C24.pdf | Appropriation Act 2022-23 C25.pdf | Appropriation Act 2022-23 C36.pdf | Appropriation Act 2022-23 C43.pdf,"Amount 32,886,748 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2023,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Canadian High Arctic Research Station,5,0,,Appropriation Act 2023-24 C44.pdf | Appropriation Act 2023-24 C54.pdf | Appropriation Act 2023-24 C55.pdf | Appropriation Act 2023-24 C60.pdf | Appropriation Act 2023-24 C67.pdf,"Amount 35,785,795 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Canada,2024,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Canadian High Arctic Research Station,4,0,,Appropriation Act 2024-25 C68.pdf | Appropriation Act 2024-25 C74.pdf | Appropriation Act 2024-25 C75.pdf | Appropriation Act 2024-25 C79.pdf,"Amount 36,506,666 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",15,84.05,moderate
Czech Republic,1993,general_reextract_needed,Needs targeted re-extraction,2,0,reextract,,Akademie věd České republiky (AV ČR) | Grantová agentura České republiky (GA ČR),1,0,1993 2025-12-20_Zakon-c-434-2024-Sb.pdf,1993 2025-12-20_Zakon-c-434-2024-Sb.pdf,Year not in raw_rows — documents may not be parsed yet,16,78.0,moderate
Czech Republic,1998,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Grantová agentura České republiky (GA ČR),1,0,1998 Zak_1997-348_Prilohy-k-zakonu-c-3481997-Sb.pdf,1998 Zak_1997-348_Prilohy-k-zakonu-c-3481997-Sb.pdf,Year not in raw_rows — documents may not be parsed yet,16,78.0,moderate
Czech Republic,2000,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Grantová agentura České republiky (GA ČR),1,0,2000 Zak_2000-058_Prilohy-k-zakonu-c-582000-Sb.pdf,2000 Zak_2000-058_Prilohy-k-zakonu-c-582000-Sb.pdf,Year not in raw_rows — documents may not be parsed yet,16,78.0,moderate
Czech Republic,2003,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Grantová agentura České republiky (GA ČR),1,0,2003 czech_budget_annexes_CONTENT_2003.docx,2003 czech_budget_annexes_CONTENT_2003.docx,Year not in raw_rows — documents may not be parsed yet,16,78.0,moderate
Czech Republic,2004,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Grantová agentura České republiky (GA ČR),1,0,2004 czech_budget_annexes_CONTENT_2004.docx,2004 czech_budget_annexes_CONTENT_2004.docx,Year not in raw_rows — documents may not be parsed yet,16,78.0,moderate
Czech Republic,2009,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Technologická agentura České republiky (TA ČR),1,0,2009 Zak_2008-475_Zakon-c-4752008-Sb.pdf,2009 Zak_2008-475_Zakon-c-4752008-Sb.pdf,Year not in raw_rows — documents may not be parsed yet,16,78.0,moderate
Czech Republic,2017,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Technologická agentura České republiky (TA ČR),1,0,2017 Zak_2016-457_Zakon-o-statnim-rozpoctu-Ceske-republiky-na-rok-2017.pdf,2017 Zak_2016-457_Zakon-o-statnim-rozpoctu-Ceske-republiky-na-rok-2017.pdf,Year not in raw_rows — documents may not be parsed yet,16,78.0,moderate
Czech Republic,2018,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Technologická agentura České republiky (TA ČR),1,0,2018 Zak_2017-474_Zakon-o-statnim-rozpoctu-Ceske-republiky-na-rok-2018.pdf,2018 Zak_2017-474_Zakon-o-statnim-rozpoctu-Ceske-republiky-na-rok-2018.pdf,Year not in raw_rows — documents may not be parsed yet,16,78.0,moderate
Czech Republic,2023,parsed_but_zero_rows,Document ran but returned zero rows,1,0,reextract,,Grantová agentura České republiky (GA ČR),1,1,2023 2023-01-01_Zakon-c-449-2022-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2023.pdf,2023 2023-01-01_Zakon-c-449-2022-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2023.pdf,Year not in raw_rows — documents may not be parsed yet,16,78.0,moderate
Czech Republic,2025,general_reextract_needed,Needs targeted re-extraction,3,0,reextract,,Akademie věd České republiky (AV ČR) | Grantová agentura České republiky (GA ČR) | Technologická agentura České republiky (TA ČR),1,0,2025-12-20_Zakon-c-434-2024-Sb.pdf,2025-12-20_Zakon-c-434-2024-Sb.pdf,Year not in raw_rows — documents may not be parsed yet,16,78.0,moderate
Estonia,1992,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Estonian Academy of Sciences,1,0,1992 13105790.pdf,1992 13105790.pdf,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,17,77.0,moderate
Estonia,1994,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Estonian Academy of Sciences,1,0,1994 28618.pdf,1994 28618.pdf,Year not in raw_rows — documents may not be parsed yet,17,77.0,moderate
Estonia,2001,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Estonian Academy of Sciences,1,0,2001 72597.pdf,2001 72597.pdf,Year not in raw_rows — documents may not be parsed yet,17,77.0,moderate
Estonia,2003,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Estonian Academy of Sciences,1,0,2003 608767.pdf,2003 608767.pdf,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,17,77.0,moderate
Estonia,2004,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Estonian Academy of Sciences,1,0,2004 822726.pdf,2004 822726.pdf,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,17,77.0,moderate
Estonia,2005,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Estonian Academy of Sciences,1,0,2005 960922.pdf,2005 960922.pdf,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,17,77.0,moderate
Estonia,2006,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Estonian Academy of Sciences,1,0,2006 969308.pdf,2006 969308.pdf,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,17,77.0,moderate
Estonia,2007,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Estonian Academy of Sciences,1,0,2007 12768664.pdf,2007 12768664.pdf,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,17,77.0,moderate
Estonia,2008,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Estonian Academy of Sciences,1,0,2008 12901846.pdf,2008 12901846.pdf,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,17,77.0,moderate
Estonia,2009,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Estonian Academy of Sciences,1,0,2009 13111066.pdf,2009 13111066.pdf,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,17,77.0,moderate
Estonia,2010,general_reextract_needed,Needs targeted re-extraction,1,0,reextract,,Estonian Academy of Sciences,1,0,2010 13252314.pdf,2010 13252314.pdf,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,17,77.0,moderate
France,1970,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Industrial and Scientific Development,1,0,,JORF_1970.pdf,"Amount 204,150,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",18,68.3,moderate
France,1972,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Industrial and Scientific Development,1,0,,JORF_1972.pdf,"Amount 210,590,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",18,68.3,moderate
France,1973,outlier_or_unit_break,Outlier or unit/currency break,0,1,verify,,Industrial and Scientific Development,1,0,,JORF_1973.pdf,"Amount 366,947,808 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",18,68.3,moderate
