year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2011,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,35886658.0,euro,EUR,verified_override,Lei orcamento para 2011.pdf,93,Data/input/finance_bills/Portugal/Lei orcamento para 2011.pdf,,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,verified_against_original_file,,,manual override from original Portugal budget file (MAPA VII / 2011 deterministic page-aligned parser)
2012,ANI — Agência Nacional de Inovação (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2012,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,394575542.0,euro,EUR,verified_override,Lei orcamento para 2012.pdf,128,Data/input/finance_bills/Portugal/Lei orcamento para 2012.pdf,,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",verified_against_original_file,,,Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (MAPA VII / 2012 autonomous-services table)
2012,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,30112820.0,euro,EUR,verified_override,Lei orcamento para 2012.pdf,127,Data/input/finance_bills/Portugal/Lei orcamento para 2012.pdf,,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,verified_against_original_file,,,manual override from original Portugal budget file (MAPA VII / 2012 deterministic page-aligned parser)
2013,ANI — Agência Nacional de Inovação (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2013,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,420884807.0,euro,EUR,verified_override,Lei orcamento para 2013.pdf,131,Data/input/finance_bills/Portugal/Lei orcamento para 2013.pdf,,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",verified_against_original_file,,,Primary R&D funder from 1997. Amounts in full EUR (2002+) or PTE (pre-2002).; manual override from original Portugal budget file (MAPA VII / 2013 autonomous-services table)
2013,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,30050258.0,euro,EUR,verified_override,Lei orcamento para 2013.pdf,130,Data/input/finance_bills/Portugal/Lei orcamento para 2013.pdf,,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,verified_against_original_file,,,manual override from original Portugal budget file (MAPA VII / 2013 deterministic page-aligned parser)
2014,ANI — Agência Nacional de Inovação (Portugal),rd_agency,,,,,,,,,,covered_by_final_series,,,"gap: no matching rows in this year; dropped after Portugal source audit: original page is a legal text, plurianual project table, or non-institutional support line rather than a clean agency appropriation"
2014,FCT — Fundação para a Ciência e a Tecnologia (Portugal),rd_agency,404198171.0,euro,EUR,verified_override,Lei orcamento para 2014.pdf,123,Data/input/finance_bills/Portugal/Lei orcamento para 2014.pdf,,"FUNDAÇÃO PARA A CIÊNCIA E TECNOLOGIA, I.P.",verified_against_original_file,,,gap: no matching rows in this year; manual override from original Portugal budget file (MAPA VII / 2014 deterministic page-aligned parser)
2014,LNEC — Laboratório Nacional de Engenharia Civil (Portugal),research_institute,58314791.0,euro,EUR,verified_override,Lei orcamento para 2014.pdf,121,Data/input/finance_bills/Portugal/Lei orcamento para 2014.pdf,,LABORATÓRIO NACIONAL DE ENGENHARIA CIVIL,verified_against_original_file,,,manual override from original Portugal budget file (MAPA VII / 2014 deterministic page-aligned parser)
