year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2014,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2014,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,Main competitive research funding body in Costa Rica.; manual override from original Costa Rica budget file
2014,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2014,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,manual override from original Costa Rica budget file
2014,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,,,,,,,,,,covered_by_final_series,,,
2014,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2014,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,,,,,,,,,,covered_by_final_series,,,
2014,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,"Receives bulk FEES transfer; include only explicit research/Vínculo Externo sub-lines.; manual override from original Costa Rica budget file; sum of convenio CITA-MAG transfer 40,900,000 and convenio CITA/MAG/UCR/MICIT transfer 122,650,000 on tomo 5 page 89"
2015,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2015,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,Main competitive research funding body in Costa Rica.
2015,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2015,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2015,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2015,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2015,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,,,,,,,,,,covered_by_final_series,,,
2015,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
